CS1(0+068)		
61.69	15.78	
64.4	15.8	
67.26	15.14	
69.18	15.06	
72.68	14.93	
75.69	14.94	
79.63	14.97	
84.15	15.02	
CS19(1+847)		
-64.34	14.33	
-57.19	14.31	
-51.62	14.32	
-45.45	14.3	
-41.16	14.25	
-37.78	14.2	
-35.26	14.09	
-33.07	14.04	
-30.56	13.79	
-26.47	13.66	
-24.21	13.64	
-21.41	13.66	
-17.84	13.45	
-13.35	13.23	
-9.47	13	
-4.66	12.85	
0	12.8	河口
1.23	12.26	
2.27	12.14	
3.23	11.7	水
4.21	11.1	
4.25	11.31	
5.24	10.5	
5.25	10.8	
7.25	10.1	
7.25	10.5	
9.25	9.8	
9.25	10.2	
11.64	10.2	
11.67	9.8	
14.77	9.55	
14.77	10.1	
19.14	10.1	
19.15	9.55	
22.25	10.2	
22.26	9.8	
23.96	9.8	
23.96	10.2	
25.96	10.5	
25.96	10.1	
27.96	10.8	
27.96	10.5	
29.39	11	
29.4	11.24	
30.26	11.39	
30.27	11.59	
31.05	11.66	
31.05	11.47	
31.94	11.7	水
33.69	12.45	
35.88	12.92	
37.42	13.11	河口
39.65	13.43	
41.07	13.49	
42.66	13.68	
45.56	13.91	
46.86	14.23	
48.12	14.59	
49.78	15.13	
52.09	15.17	
53.81	15.28	
55.71	15.27	
57.35	14.96	
58.76	14.9	
60.35	14.89	
62.16	14.9	
63.4	15.18	
67.23	15.17	
71.26	15.16	
75.09	15.12	
79.9	15.1	
84.16	15.11	
88.72	15.12	
93.89	15.16	
CS20(1+918)		
-88.88	14.38	
-80.86	14.39	
-73.56	14.41	
-66.41	14.4	
-57.51	14.38	
-50.27	14.35	
-43.6	14.32	
-39.63	14.29	
-37.42	14.27	
-34.12	13.84	
-28.78	13.89	
-20.8	13.82	
-19.84	13.78	
-15.17	13.75	
-11.41	13.62	
-7.54	13.27	
-3.86	13.04	
-1.14	12.93	
0	12.88	河口
0.71	12.63	
1.57	12.26	
2.1	11.7	水
3.15	11.2	
3.16	11.39	
4.39	11.2	
4.41	10.9	
6.09	10.9	
6.09	10.5	
8.09	10.7	
8.1	10.3	
10.09	10.5	
10.1	10.1	
12.09	9.8	
12.09	10.3	
15.03	9.75	
15.03	10.25	
18.04	9.75	
18.04	10.25	
21.04	10.3	
21.04	9.8	
23.04	10.5	
23.04	10.1	
25.04	10.7	
25.04	10.3	
26.32	10.5	
26.32	10.9	
27.6	11.2	
27.61	10.9	
29.04	11.28	
29.05	11.48	
31.03	11.7	水
33.49	12.25	
35.49	12.33	河口
38.15	12.51	
41.91	12.74	
44.37	13.02	
46.7	13.52	
47.7	13.46	
49.3	13.95	
50.63	15.24	
52.15	15.25	
55.04	15.1	
58.49	14.79	
60.96	14.75	
62.13	14.72	
64.11	15.17	
66.09	15.13	
67.86	14.57	
69.21	14.57	
70.78	14.5	
72.8	14.47	
75.38	14.78	
79.67	14.93	
82.59	14.91	
86.86	14.89	
90.52	14.87	
CS21(2+064)		
-59.59	15.37	
-52.87	15.37	
-47.07	15.35	
-40.48	15.31	
-34.72	15.29	
-32.84	15.3	
-29.31	15.27	
-24.28	15.05	
-21.66	15.04	
-16.66	14.83	
-11.24	14.7	
-6.26	14.57	
-4.08	14.58	
-3.29	14.64	
-1.25	14.63	
0	14.55	河口
1.47	13.64	
3.16	12.46	
5.02	11.62	水
6.09	11.25	
6.12	11.1	
7.02	11	
7.03	11.21	
9.03	10.81	
9.03	11.12	
11.03	10.66	
11.03	11.06	
13.03	11	
13.03	10.5	
18.41	11	
18.41	10.5	
33.55	11.04	
33.55	10.64	
38.14	11.08	
38.14	10.68	
40.14	11.12	
40.14	10.82	
42.14	11	
44.07	11.15	
44.07	11.33	
46.13	11.62	水
48.23	12.15	河口
49.83	12.52	
51.91	12.7	
52.88	12.87	
54.38	13.37	
56.41	14.18	
58.43	14.23	
61.12	14.39	
63.72	14.38	
66.08	14.22	
68.6	14.2	
71.2	14.18	
75.11	14.21	
77.57	14.37	
80.35	14.52	
82.84	13.78	
84.87	13.96	
85.96	14.07	
87.06	14.69	
89.13	14.74	
CS22(2+146)		
-68.81	15.47	
-57.96	15.47	
-49.91	15.49	
-41.84	15.52	
-35.36	15.53	
-27.88	15.55	
-24.18	15.6	
-18.47	15.59	
-11.99	15.49	
-9.12	15.42	
-5.68	15.33	
-2.75	15.25	
-1.14	15.24	
0	15.25	河口
1.26	13.65	
2.43	13.06	
3.84	12.11	
5.14	11.62	水
6.16	11.37	
6.16	11.5	
7.27	11.15	
7.28	10.65	
9.15	10.9	
9.15	11.1	
11.15	10.9	
11.15	11.1	
14.15	10.6	
14.15	11	
21.14	10.5	
21.14	11	
30.57	10.5	
30.58	11	
39.53	10.6	
39.54	11	
47.04	11.1	
47.04	10.9	
50.04	10.9	
50.04	11.2	
52.04	11	
52.04	11.22	
54.52	11.12	
54.53	11.32	
56.03	11.62	水
56.93	12.56	
58.05	13.17	
59.32	13.8	
63.23	14.12	河口
64.84	14.13	
66.22	15.02	
67.86	15.01	
69.05	15.01	
70.43	15.22	
73.47	15.23	
76.37	14.92	
79.95	14.89	
82.34	15.1	
85.11	15.31	
87.5	15.59	
90.66	15.7	
92.66	15.69	
CS23(2+242)		
-77.73	14.89	
-71.75	14.9	
-64.21	14.91	
-57.45	14.94	
-50.62	14.94	
-42.13	14.97	
-35.17	14.95	
-26.35	14.94	
-16.86	14.7	
-9.27	14.74	
-6.42	14.72	
-4.31	14.85	
-3.23	14.92	
-1.84	14.94	
0	13.85	河口
4.73	12.18	
7.82	11.91	
8.33	11.7	水
9.51	11.22	
9.51	11.44	
11.47	11.42	
11.48	11.21	
13.17	11.35	
13.18	11.15	
15.2	11.2	
15.21	10.9	
17.32	10.6	
17.32	11	
20.19	10.9	
20.2	10.4	
